0.506,440
1.007,482
1.521,535
2.021,537
2.541,561
3.051,563
3.551,558
4.061,574
4.561,567
6.591,569
7.111,596
7.611,575
8.121,603
8.621,591
9.131,602
9.641,602
10.151,601
10.651,595
12.681,602
13.191,608
13.691,617
14.201,621
14.701,620
15.221,623
15.721,618
16.231,625
16.731,617
18.761,612
19.271,633
19.771,613
20.291,630
20.791,621
21.301,636
21.811,637
22.321,630
22.821,620
24.841,629
25.361,636
25.861,619
26.371,640
26.871,625
27.391,622
27.891,618
28.401,635
28.901,631
30.931,631
31.441,636
31.941,626
32.461,619
32.961,629
33.471,642
33.981,624
34.481,630
35.001,628
37.031,625
37.531,602
38.041,623
38.541,620
39.051,625
39.551,618
40.071,624
40.571,610
41.081,621
43.111,608
43.611,614
44.121,622
44.621,611
45.141,626
45.641,593
46.151,616
46.651,606
48.681,594
49.191,618
49.701,598
50.211,594
50.711,598
51.221,602
51.721,600
52.241,604
52.741,573
54.761,592
55.281,597
55.781,580
56.291,587
56.791,586
57.311,599
57.811,570
58.321,593
58.821,586
60.851,566
61.361,588
61.861,574
62.381,586
62.881,566
63.391,587
63.891,564
64.411,580
64.921,561
66.981,564
67.491,573
67.991,573
68.511,578
69.011,556
69.521,568
70.021,569
70.541,566
71.051,560
73.111,556
73.611,543
74.121,558
74.631,554
75.141,550
75.641,558
76.151,555
76.651,553
77.171,557
79.191,550
79.691,550
80.211,565
80.721,549
81.241,549
81.751,539
82.271,543
82.781,532
83.281,535
85.311,545
85.821,543
86.321,530
86.841,546
87.341,527
87.851,535
88.361,533
88.871,531
90.891,529
91.391,527
91.911,542
92.411,527
92.921,531
93.421,516
93.941,536
94.451,519
94.971,529
97.021,521
97.531,513
98.041,522
98.541,517
99.051,509
99.551,513
100.071,523
100.571,518
101.081,521
103.111,526
103.621,512
104.141,508
104.651,518
105.171,514
105.681,505
106.181,511
106.701,516
107.201,498
109.221,506
109.741,516
110.241,512
110.751,513
111.261,511
111.771,513
112.271,506
112.781,515
113.291,505
115.311,496
115.821,501
116.321,499
116.841,508
117.351,492
117.871,507
118.381,511
118.901,503
119.411,494
121.441,499
121.941,502
122.451,501
122.951,496
123.471,499
123.971,493
124.481,503
124.981,492
127.021,491
127.521,486
128.041,497
128.541,483
129.051,502
129.551,499
130.071,489
130.561,488
131.081,493
133.111,486
133.611,494
134.121,502
134.621,483
135.141,494
135.631,489
136.151,494
136.651,486
137.161,490
139.191,487
139.691,482
140.211,490
140.711,487
141.221,488
141.721,483
142.231,492
142.731,486
143.251,493
145.281,477
145.781,488
146.291,490
146.791,488
147.301,484
147.801,488
148.321,482
148.821,483
149.331,484
151.361,478
151.861,474
152.371,479
152.881,485
153.391,477
153.891,479
154.401,474
154.901,476
155.421,485
157.441,488
157.941,476
158.461,478
158.971,477
159.471,465
159.991,482
160.491,470
161.001,490
161.501,472
163.531,478
164.041,474
164.551,483
165.061,470
165.561,463
166.071,471
166.571,477
167.081,476
167.581,474
169.611,479
170.131,476
170.631,468
171.141,475
171.639,475
172.153,478
172.655,476
173.165,476
